latitude,longitude,snow_thickness
78.2521775,16.156631667,0.8319171820489486
78.252177333,16.156630667,0.8322202813988304
78.252177333,16.156630667,0.8325233807487122
78.252177167,16.156630333,0.8328264800985941
78.252177167,16.156630333,0.8331295794484754
78.252177,16.15663,0.8334326787983573
78.252177,16.15663,0.8337357781482391
78.252176667,16.156630667,0.8340388774981209
78.252176667,16.156630667,0.8343419768480027
78.252176333,16.156631333,0.8346450761978845
78.252176333,16.156631333,0.8349481755477663
78.252176,16.156631333,0.8371401658463469
78.252176,16.156631333,0.8565623637341415
78.252177,16.156644667,0.8759845616219271
78.252177,16.156644667,0.9131900468899576
78.252179833,16.1566805,0.9245990193655352
78.252179833,16.1566805,0.8996115065412404
78.252183167,16.156732833,0.9204983881979762
78.252183167,16.156732833,0.931529220148378
78.252188333,16.156791833,0.8696939567606665
78.252188333,16.156791833,0.929346870744412
78.252193667,16.156860833,0.9975329931657348
78.252193667,16.156860833,0.952036532756172
78.252200667,16.156932667,1.0275151319704685
78.252200667,16.156932667,1.0873842111556715
78.2522105,16.157011,1.070994641181476
78.2522105,16.157011,1.0313155058201284
78.2522215,16.157085333,0.9911376457119616
78.2522215,16.157085333,0.9888899432020704
78.252233167,16.157156833,0.9898874836554814
78.252233167,16.157156833,0.9908850241088918
78.252245667,16.157231667,0.9819503637750544
78.252245667,16.157231667,0.9093061681723028
78.252257667,16.157309667,0.8735882354900821
78.252257667,16.157309667,0.8999492430523359
78.252269167,16.157390667,0.8880449362412914
78.252269167,16.157390667,0.9026285683847396
78.252280833,16.157477167,0.9528546699185564
78.252280833,16.157477167,1.0058579646065335
78.252291667,16.1575735,1.0636116873727366
78.252291667,16.1575735,1.0453387902578857
78.252301333,16.1576785,1.0159100629254871
78.252301333,16.1576785,1.0319324050452376
78.252311833,16.1577935,1.0313410426020873
78.252311833,16.1577935,1.0398302340766563
78.252323167,16.157909,1.0985784889917367
78.252323167,16.157909,1.089965273347636
78.252335,16.1580245,1.0750181284279166
78.252335,16.1580245,1.0858709242004658
78.252347167,16.158147833,1.1097158794188071
78.252347167,16.158147833,1.1616503292745226
78.252359667,16.158275333,1.1629852076112484
78.252359667,16.158275333,1.148238843082913
