surface_interp,bed_interp,snow_thickness,x_dense,slowtime
1.2708695053970316,2.207479712710494,-0.9366102073134623,993.28975,993.28975
1.2708695053970316,2.207294696902618,-0.9364251915055863,993.7872938325992,993.3110300000001
1.2708695053970316,2.207109681094742,-0.9362401756977103,994.2848376651982,994.28174
1.2708695053970316,2.2069246652868655,-0.9360551598898339,994.7823814977974,994.30348
1.2708695053970316,2.2067396494789895,-0.9358701440819579,995.2799253303965,995.28349
1.2708695053970316,2.2065546336711135,-0.9356851282740819,995.7774691629957,995.30556
1.2708695053970316,2.2063696178632375,-0.9355001124662059,996.2750129955947,996.28147
1.2708695053970316,2.2061846020553615,-0.9353150966583299,996.7725568281938,996.30278
1.2708695053970316,2.2059995862474855,-0.9351300808504539,997.270100660793,997.28459
1.2708695053970316,2.2058145704396095,-0.9349450650425779,997.7676444933921,997.3062600000001
1.2708695053970316,2.205629554631733,-0.9347600492347015,998.2651883259912,998.2805
1.2708695053970316,2.205444538823857,-0.9345750334268255,998.7627321585903,998.30274
1.2708695053970316,2.205259523015981,-0.9343900176189495,999.2602759911895,999.28029
1.2708695053970316,2.205074507208105,-0.9342050018110735,999.7578198237886,999.3016
1.2708695053970316,2.204889491400229,-0.9340199860031975,1000.2553636563877,1000.27932
1.2708695053970316,2.204704475592353,-0.9338349701953215,1000.7529074889868,1000.30066
1.2708695053970316,2.204519459784477,-0.9336499543874455,1001.250451321586,1001.2982900000001
1.2708695053970316,2.2043344439766006,-0.933464938579569,1001.747995154185,1001.3201700000001
1.2708695053970316,2.2041494281687246,-0.933279922771693,1002.2455389867841,1002.27194
1.2708695053970316,2.2039644123608486,-0.933094906963817,1002.7430828193833,1002.2930799999999
1.2708695053970316,2.2037793965529726,-0.932909891155941,1003.2406266519824,1003.2776
1.2708695053970316,2.2035943807450966,-0.932724875348065,1003.7381704845815,1003.2989399999999
1.2708695053970316,2.2034093649372206,-0.932539859540189,1004.2357143171806,1004.2768000000001
1.2708695053970316,2.203224349129344,-0.9323548437323126,1004.7332581497798,1004.2981
1.2708695053970316,2.203039333321468,-0.9321698279244366,1005.2308019823789,1005.27985
1.2708695053970316,2.202854317513592,-0.9319848121165606,1005.728345814978,1005.30112
1.2708695053970316,2.202669301705716,-0.9317997963086846,1006.2258896475771,1006.27498
1.2708695053970316,2.20248428589784,-0.9316147805008086,1006.7234334801763,1006.29615
1.2708695053970316,2.202299270089964,-0.9314297646929326,1007.2209773127753,1007.28088
1.2708695053970316,2.202114254282088,-0.9312447488850566,1007.7185211453744,1007.30202
1.2708695053970316,2.2019292384742117,-0.9310597330771802,1008.2160649779736,1008.27783
1.2708695053970316,2.2017442226663357,-0.9308747172693042,1008.7136088105727,1008.29923
1.2708695053970316,2.2015592068584597,-0.9306897014614282,1009.2111526431718,1009.2772199999999
1.2708695053970316,2.2013741910505837,-0.9305046856535522,1009.7086964757709,1009.2984200000001
1.2708695053970316,2.2011891752427077,-0.9303196698456762,1010.2062403083701,1010.2725600000001
1.2790783877849778,2.2010041594348317,-0.9219257716498539,1010.7037841409692,1010.29403
1.3163993605859274,2.1892846323658177,-0.8728852717798903,1011.2013279735683,1011.2739
1.3149062802930593,2.2134801782065328,-0.8985738979134734,1011.6988718061674,1011.2950999999999
1.3264519707390163,2.2545057375520035,-0.9280537668129871,1012.1964156387666,1012.27027
1.3622435161058304,2.2372243124008375,-0.8749807962950071,1012.6939594713657,1012.29165
