surface_interp,bed_interp,snow_thickness,x_dense,slowtime
1.26433031747739,2.4416372102543598,1.1773068927769696,3786.4346800000003,3786.4346800000003
1.2648343619267004,2.4416372102543598,1.1768028483276594,3786.9341058208956,3786.4558199999997
1.2653384063760111,2.4416372102543598,1.1762988038783486,3787.4335316417914,3787.43881
1.2658424508253214,2.4416372102543598,1.1757947594290383,3787.9329574626868,3787.4600499999997
1.2663464952746322,2.4416372102543598,1.1752907149797276,3788.4323832835826,3788.43535
1.2668505397239425,2.4416372102543598,1.1747866705304173,3788.931809104478,3788.45686
1.2673545841732528,2.4416372102543598,1.174282626081107,3789.4312349253732,3789.43445
1.2678586286225637,2.4416372102543598,1.173778581631796,3789.930660746269,3789.45559
1.268362673071874,2.4416372102543598,1.1732745371824858,3790.4300865671644,3790.4363599999997
1.2688667175211847,2.4416372102543598,1.172770492733175,3790.92951238806,3790.4574
1.269370761970495,2.4416372102543598,1.1722664482838647,3791.4289382089555,3791.4366600000003
1.2698748064198053,2.4416372102543598,1.1717624038345544,3791.928364029851,3791.4584
1.270378850869116,2.4416372102543598,1.1712583593852437,3792.4277898507466,3792.43086
1.2708828953184264,2.4416372102543598,1.1707543149359334,3792.927215671642,3792.4521299999997
1.2713869397677373,2.4416372102543598,1.1702502704866224,3793.426641492538,3793.43126
1.2718909842170476,2.441180342815707,1.1692893585986595,3793.926067313433,3793.4534700000004
1.272395028666358,2.438742704122997,1.1663476754566393,3794.4254931343285,3794.43062
1.2728990731156686,2.436305065430285,1.1634059923146165,3794.9249189552243,3794.4523599999998
1.273403117564979,2.4338674267375753,1.1604643091725964,3795.4243447761196,3795.43686
1.2739071620142897,2.431429788044863,1.1575226260305735,3795.9237705970154,3795.45796
1.2744112064636,2.4289921493521534,1.1545809428885534,3796.4231964179107,3796.43256
1.2749152509129105,2.4261312107531285,1.151215959840218,3796.922622238806,3796.45377
1.2754192953622212,2.4231960947761895,1.1477767994139683,3797.422048059702,3797.43246
1.2759233398115315,2.4202609787992535,1.144337638987722,3797.921473880597,3797.4538
1.2764273842608422,2.4173258628223144,1.1408984785614722,3798.420899701493,3798.42753
1.2769314287101525,2.4180623431903796,1.141130914480227,3798.9203255223883,3798.4487400000003
1.2774354731594628,2.4238929114148346,1.1464574382553718,3799.4197513432837,3799.42817
1.2779395176087736,2.4297234796392946,1.151783962030521,3799.9191771641795,3799.44941
1.2784435620580838,2.4355540478637496,1.1571104858056658,3800.418602985075,3800.42233
1.2789476065073948,2.44138461608821,1.1624370095808152,3800.9180288059706,3800.44367
1.279451650956705,2.447215184312665,1.16776353335596,3801.417454626866,3801.4335
1.2799556954060154,2.45304575253712,1.1730900571311047,3801.9168804477613,3801.45457
1.2804597398553261,2.4529065016775498,1.1724467618222236,3802.416306268657,3802.4251099999997
1.2809637843046364,2.450509490296385,1.1695457059917487,3802.9157320895524,3802.44632
1.2814678287539472,2.448112478915218,1.166644650161271,3803.415157910448,3803.4276600000003
1.2819718732032575,2.4457154675340536,1.163743594330796,3803.9145837313436,3803.4487999999997
1.282475917652568,2.443318456152889,1.160842538500321,3804.414009552239,3804.4277599999996
1.2829799621018787,2.4416372102543598,1.158657248152481,3804.9134353731347,3804.449
1.283484006551189,2.4416372102543598,1.1581532037031708,3805.41286119403,3805.42688
1.2812621101629385,2.4416372102543598,1.1603751000914213,3805.912287014926,3805.44822
1.2927088490301857,2.4416372102543598,1.148928361224174,3806.411712835821,3806.42266
1.3409989466924603,2.4416372102543598,1.1006382635618994,3806.9111386567165,3806.444
1.2730836242260735,2.4416372102543598,1.1685535860282863,3807.4105644776123,3807.42957
1.2691867104831038,2.451098618777504,1.1819119082944,3807.9099902985076,3807.4509700000003
1.2747182752088748,2.479862755351503,1.205144480142628,3808.4094161194034,3808.42229
1.3035460029706907,2.508626891925476,1.2050808889547855,3808.9088419402988,3808.4442999999997
1.3317549445735517,2.537391028499449,1.2056360839258973,3809.408267761194,3809.42051
1.3461370128605528,2.548566911194606,1.2024298983340533,3809.90769358209,3809.4416800000004
1.3533816070388076,2.5093430885937256,1.155961481554918,3810.4071194029852,3810.42114
1.3586640131205245,2.4701192659928095,1.111455252872285,3810.906545223881,3810.44251
1.3435909627824876,2.4389104540508204,1.0953194912683328,3811.4059710447764,3811.41802
1.2953578725787454,2.4289536375444447,1.1335957649656994,3811.9053968656717,3811.4391299999997
1.3114614030274796,2.41899682103806,1.1075354180105805,3812.4048226865675,3812.4186600000003
1.3840863168993243,2.4090400045316844,1.0249536876323602,3812.904248507463,3812.43989
1.3974030467946992,2.3990831880252994,1.0016801412306002,3813.4036743283586,3813.4262000000003
1.4107197766900619,2.389126371518924,0.9784065948288623,3813.903100149254,3813.44754
1.3804894152452014,2.399791802131197,1.0193023868859956,3814.4025259701493,3814.4211299999997
1.336236897439048,2.4420920029753233,1.1058551055362753,3814.901951791045,3814.4424700000004
1.3390000089387089,2.484392203819411,1.145392194880702,3815.4013776119405,3815.41788
1.3253703592838209,2.4902200510602213,1.1648496917764004,3815.9008034328363,3815.43912
1.2864189243398885,2.418309709625285,1.1318907852853966,3816.4002292537316,3816.41593
1.2708695053970316,2.401754136808263,1.1308846314112313,3816.899655074627,3816.43764
1.2827514548478387,2.421978920336853,1.1392274654890144,3817.3990808955227,3817.42026
1.3023633661482699,2.4422037038654247,1.1398403377171549,3817.898506716418,3817.4417599999997
1.3098950955589426,2.4453193494319265,1.135424253872984,3818.397932537314,3818.4106699999998
1.3446286494261024,2.442262969836445,1.0976343204103425,3818.897358358209,3818.43194
1.3554249507478384,2.45025300777366,1.0948280570258215,3819.3967841791045,3819.42186
1.3554249507478384,2.4546457403083304,1.099220789560492,3819.8962100000003,3819.44296
1.3554249507478384,2.4546457403083304,1.099220789560492,3820.3956358208957,3820.4132400000003
1.2985508815182252,2.4311291636646355,1.1325782821464103,3820.8950616417915,3820.4352200000003
1.2742003630690577,2.3884323984376503,1.1142320353685926,3821.394487462687,3821.41767
1.2773737704240165,2.345735633210665,1.0683618627866487,3821.893913283582,3821.43898
1.2737428927803587,2.354665409479389,1.0809225166990302,3822.393339104478,3822.41063
1.274325135942201,2.3906205801968676,1.1162954442546666,3822.8927649253733,3822.43317
1.247247227429941,2.4090467896856453,1.1617995622557042,3823.392190746269,3823.4171
1.2735559072331006,2.387473687255163,1.1139177800220623,3823.8916165671644,3823.4383700000003
1.3491317125681737,2.3765945599845084,1.0274628474163348,3824.39104238806,3824.4114
1.3814420108557792,2.3661285053765857,0.9846864945208065,3824.8904682089556,3824.43277
1.3528849034144594,2.2342238645245294,0.8813389611100699,3825.389894029851,3825.4186400000003
1.2965362365478545,2.220305733924205,0.9237694973763506,3825.8893198507467,3825.43984
1.2498694377339474,2.206387603323894,0.9565181655899464,3826.388745671642,3826.41025
1.255674349495879,2.213911162957014,0.958236813461135,3826.888171492538,3826.43129
1.2939340453582362,2.235061263379058,0.9411272180208219,3827.387597313433,3827.4125
1.275956459999501,2.2562113638011017,0.9802549038016006,3827.8870231343285,3827.43381
1.2729320063180363,2.2566756319872967,0.9837436256692604,3828.3864489552243,3828.40911
1.2758084199754332,2.2392428219424665,0.9634344019670333,3828.8858747761196,3828.43136
1.2773737704240165,2.2218100118976203,0.9444362414736038,3829.3853005970154,3829.40666
1.2773737704240165,2.213987934309879,0.9366141638858627,3829.8847264179108,3829.42787
1.2773737704240165,2.213878811269686,0.9365050408456694,3830.384152238806,3830.40559
1.2823976926678722,2.205888773332464,0.923491080664592,3830.883578059702,3830.42663
